schema_version,sample_id,sample_alert_level,sample_confidence,matched_confidence_p10,matched_confidence_median,all_event_comparison_confidence_p10,match_coverage,n_rows,n_reference_rows,n_matched,n_info,n_green,n_yellow,n_red,n_unavailable,n_review_required,n_ai_miss,n_ai_extra,n_ambiguous,min_confidence
comparison_confidence_v2_1,test3_4,RED,0.6861078455378401,0.7103590801371158,0.8590706464170716,0.02544132507617713,0.9658605974395448,1268,704,679,0,486,183,598,1,782,24,564,2,0.0
comparison_confidence_v2_1,test3_40,RED,0.8353625255566794,0.8389375434977209,0.8805817331938173,0.3448302328102321,0.9957386363636364,781,704,701,0,674,26,81,0,107,3,77,0,0.0
comparison_confidence_v2_1,test3_41,RED,0.834780839331376,0.8371591323209241,0.8808390913041148,0.25678532523341957,0.9971590909090909,787,704,702,0,678,24,85,0,109,2,83,0,0.0
comparison_confidence_v2_1,test3_42,RED,0.8350066324189306,0.8385801272794966,0.8832369770302858,0.314970862402176,0.9957386363636364,779,704,701,0,681,17,81,0,98,3,75,0,0.0
comparison_confidence_v2_1,test3_43,RED,0.838086352485861,0.8416730273181828,0.8822349749910184,0.2464279761699879,0.9957386363636364,782,704,701,0,679,21,82,0,103,3,78,1,0.0
comparison_confidence_v2_1,test3_44,RED,0.8379527015531922,0.8403400311872469,0.8835375477389795,0.6326878272085348,0.9971590909090909,776,704,702,0,688,11,77,0,88,2,72,0,0.0
comparison_confidence_v2_1,test3_45,RED,0.8302352228732672,0.8349794241468288,0.8757775316814465,0.7746619894369943,0.9943181818181818,771,704,700,0,684,16,71,0,87,4,67,0,0.0
comparison_confidence_v2_1,test3_46,RED,0.8254302281819225,0.8301469723429621,0.8743930606807628,0.35040270724397227,0.9943181818181818,780,704,700,0,672,28,80,0,108,4,76,0,0.0
comparison_confidence_v2_1,test3_47,RED,0.8278436803318148,0.8313865206185416,0.8737676703159362,0.7374132083982522,0.9957386363636364,775,704,701,0,682,18,75,0,93,3,71,0,0.0
comparison_confidence_v2_1,test3_48,RED,0.8296341692970142,0.8331846721613381,0.8733703987476004,0.7883655815284416,0.9957386363636364,770,704,701,0,688,13,69,0,82,3,66,0,0.0
comparison_confidence_v2_1,test3_49,RED,0.8274213321330569,0.8321494540309601,0.8747507834642094,0.7606222510553183,0.9943181818181818,771,704,700,0,682,18,71,0,89,4,67,0,0.0
comparison_confidence_v2_1,test3_5,RED,0.691838767388774,0.718408646195433,0.8616438820320012,0.027869958009050073,0.9630156472261735,1269,704,677,0,475,185,608,1,794,26,565,2,0.0
comparison_confidence_v2_1,test3_50,RED,0.825622576788126,0.8291559116388598,0.8729052150130089,0.7597843064035219,0.9957386363636364,772,704,701,0,679,20,73,0,93,3,68,0,0.0
comparison_confidence_v2_1,test3_51,RED,0.820571531531824,0.8264411419147413,0.8658562440759998,0.7806604783431956,0.9928977272727273,768,704,699,0,669,30,69,0,99,5,64,0,0.0
comparison_confidence_v2_1,test3_52,RED,0.8305964498540809,0.8329628215060868,0.8665662846851335,0.6931240099885569,0.9971590909090909,777,704,702,0,672,29,76,0,105,2,73,0,0.0
comparison_confidence_v2_1,test3_53,RED,0.8206689832896287,0.825358520336998,0.8671683898727192,0.781194082093554,0.9943181818181818,769,704,700,0,670,30,69,0,99,4,65,0,0.0
comparison_confidence_v2_1,test3_54,RED,0.8263514998844793,0.8298879542349122,0.8693208587310756,0.7879141783440442,0.9957386363636364,766,704,701,0,673,27,66,0,93,3,62,0,0.0
comparison_confidence_v2_1,test3_55,RED,0.8273408972309237,0.830881585806805,0.8684989710561193,0.7592176978961037,0.9957386363636364,769,704,701,0,675,25,69,0,94,3,65,0,0.0
comparison_confidence_v2_1,test3_56,RED,0.8214866011296327,0.8250022356565784,0.8683513227353343,0.7823388470225311,0.9957386363636364,764,704,701,0,676,25,63,0,88,3,60,0,0.0
comparison_confidence_v2_1,test3_6,RED,0.6959878633705778,0.7258895641672397,0.8641823628011105,0.026442712653588087,0.9588068181818182,1259,704,675,0,492,175,592,0,767,29,555,0,0.0
comparison_confidence_v2_1,test3_7,RED,0.6981952556219515,0.722837441114491,0.8622812330570426,0.03037719013375016,0.9659090909090909,1249,704,680,0,472,193,584,0,777,24,545,4,0.0
comparison_confidence_v2_1,test3_8,RED,0.7131965544694386,0.73836819756836,0.8640994370023554,0.025871057360284243,0.9659090909090909,1256,704,680,0,495,176,585,0,761,24,552,4,0.0
comparison_confidence_v2_1,test3_9,RED,0.7293640295245294,0.7474123388431859,0.8907238916220421,0.03563931636196022,0.9758522727272727,1119,704,687,0,543,140,436,0,576,17,415,1,0.0
