sample_id,uid,ai_chrom_index,n_ai_peaks,n_trad_peaks,n_ignored_weak,n_review_required,channel_alert_level,random_order,plot_path
test3_35,penthiopyrad-1,481,1,1,0,0,GREEN,74,plots\test3_35\0074_chrom481_penthiopyrad-1_GREEN.png
test3_41,tritosulfuron-1,199,2,1,0,2,RED,75,plots\test3_41\0075_chrom199_tritosulfuron-1_RED.png
test3_9,prosulfocarb-2,560,1,1,0,0,GREEN,76,plots\test3_9\0076_chrom560_prosulfocarb-2_GREEN.png
test3_8,carbendazim-1,55,3,1,0,3,RED,77,plots\test3_8\0077_chrom055_carbendazim-1_RED.png
test3_32,edifenphos-2,494,1,1,0,0,GREEN,78,plots\test3_32\0078_chrom494_edifenphos-2_GREEN.png
test3_30,fluazifop-2,618,1,1,0,0,GREEN,79,plots\test3_30\0079_chrom618_fluazifop-2_GREEN.png
test3_55,cycloxydim-1,561,1,1,0,0,GREEN,80,plots\test3_55\0080_chrom561_cycloxydim-1_GREEN.png
test3_22,benzoximate-2,532,1,1,0,0,GREEN,81,plots\test3_22\0081_chrom532_benzoximate-2_GREEN.png
test3_55,fonofos-2,462,1,1,0,0,GREEN,82,plots\test3_55\0082_chrom462_fonofos-2_GREEN.png
test3_11,spinetoram L-1,641,1,1,0,0,GREEN,83,plots\test3_11\0083_chrom641_spinetoram L-1_GREEN.png
test3_36,cycloxydim-1,561,1,1,0,0,GREEN,84,plots\test3_36\0084_chrom561_cycloxydim-1_GREEN.png
test3_22,metribuzin-2,134,1,1,0,1,YELLOW,85,plots\test3_22\0085_chrom134_metribuzin-2_YELLOW.png
test3_50,phosalone-1,519,1,1,0,0,GREEN,86,plots\test3_50\0086_chrom519_phosalone-1_GREEN.png
test3_3,isopyrazam-1,553,1,1,0,0,GREEN,87,plots\test3_3\0087_chrom553_isopyrazam-1_GREEN.png
test3_21,chlorpyrifos-methyl-1,517,1,1,0,0,GREEN,88,plots\test3_21\0088_chrom517_chlorpyrifos-methyl-1_GREEN.png
test3_14,mevinphos-2,80,2,1,0,1,RED,89,plots\test3_14\0089_chrom080_mevinphos-2_RED.png
test3_30,metaflumizone-2,648,1,1,0,0,GREEN,90,plots\test3_30\0090_chrom648_metaflumizone-2_GREEN.png
test3_26,hexaconazole-1,485,1,1,0,0,GREEN,91,plots\test3_26\0091_chrom485_hexaconazole-1_GREEN.png
test3_9,alachlor-1,381,2,1,0,2,RED,92,plots\test3_9\0092_chrom381_alachlor-1_RED.png
test3_27,triadimefon-1,343,1,1,0,0,GREEN,93,plots\test3_27\0093_chrom343_triadimefon-1_GREEN.png
test3_44,ethoxysulfuron-2,340,1,1,0,0,GREEN,94,plots\test3_44\0094_chrom340_ethoxysulfuron-2_GREEN.png
test3_52,atrazine-1,195,1,1,0,0,GREEN,95,plots\test3_52\0095_chrom195_atrazine-1_GREEN.png
test3_12,trifloxystrobin-2,570,2,1,0,1,RED,96,plots\test3_12\0096_chrom570_trifloxystrobin-2_RED.png
test3_44,dimoxystrobin-1,435,1,1,0,0,GREEN,97,plots\test3_44\0097_chrom435_dimoxystrobin-1_GREEN.png
test3_26,thifluzamide-2,414,1,1,0,0,GREEN,98,plots\test3_26\0098_chrom414_thifluzamide-2_GREEN.png
test3_31,prochloraz metabolite BTS44595-1,487,1,1,0,0,GREEN,99,plots\test3_31\0099_chrom487_prochloraz metabolite BTS44595-1_GREEN.png
test3_5,phorate sulfoxide-2,184,2,1,0,2,RED,100,plots\test3_5\0100_chrom184_phorate sulfoxide-2_RED.png
test3_50,cyantraniliprole-1,169,1,1,0,0,GREEN,101,plots\test3_50\0101_chrom169_cyantraniliprole-1_GREEN.png
test3_31,triallate-1,639,1,1,0,0,GREEN,102,plots\test3_31\0102_chrom639_triallate-1_GREEN.png
test3_26,pyridaphenthion-1,363,1,1,0,0,GREEN,103,plots\test3_26\0103_chrom363_pyridaphenthion-1_GREEN.png
test3_39,fenpyrazamine-1,369,1,1,0,0,GREEN,104,plots\test3_39\0104_chrom369_fenpyrazamine-1_GREEN.png
test3_18,triadimefon-1,343,1,1,0,0,GREEN,105,plots\test3_18\0105_chrom343_triadimefon-1_GREEN.png
test3_13,fenpropimorph-1,291,1,1,0,0,GREEN,106,plots\test3_13\0106_chrom291_fenpropimorph-1_GREEN.png
test3_24,bromuconazole-1,349,2,1,0,1,RED,107,plots\test3_24\0107_chrom349_bromuconazole-1_RED.png
test3_28,fenoxaprop-P-ethyl-1,591,1,1,0,0,GREEN,108,plots\test3_28\0108_chrom591_fenoxaprop-P-ethyl-1_GREEN.png
test3_22,oxamyl-1,17,7,1,0,6,RED,109,plots\test3_22\0109_chrom017_oxamyl-1_RED.png
test3_8,cyantraniliprole-1,169,1,1,0,0,GREEN,110,plots\test3_8\0110_chrom169_cyantraniliprole-1_GREEN.png
test3_35,imidacloprid-2,40,1,1,0,0,GREEN,111,plots\test3_35\0111_chrom040_imidacloprid-2_GREEN.png
test3_8,pencycuron-1,537,1,1,0,0,GREEN,112,plots\test3_8\0112_chrom537_pencycuron-1_GREEN.png
test3_49,quinalphos-1,439,1,1,0,0,GREEN,113,plots\test3_49\0113_chrom439_quinalphos-1_GREEN.png
test3_40,imidacloprid-1,39,1,1,0,0,GREEN,114,plots\test3_40\0114_chrom039_imidacloprid-1_GREEN.png
test3_38,prochloraz metabolite BTS44596-1,477,1,1,0,0,GREEN,115,plots\test3_38\0115_chrom477_prochloraz metabolite BTS44596-1_GREEN.png
