"sample_id","uid","ai_chrom_index","n_ai_peaks","n_trad_peaks","n_ignored_weak","n_review_required","channel_alert_level","random_order","plot_path","review_filename","source_absolute_path","review_absolute_path"
"test3_52","sulfoxaflor-2","66","1","1","0","1","YELLOW","2705","plots\test3_52\2705_chrom066_sulfoxaflor-2_YELLOW.png","test3_52_2705_chrom066_sulfoxaflor-2_YELLOW.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_52\2705_chrom066_sulfoxaflor-2_YELLOW.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_52_2705_chrom066_sulfoxaflor-2_YELLOW.png"
"test3_13","diflubenzuron-1","399","2","1","0","2","RED","2711","plots\test3_13\2711_chrom399_diflubenzuron-1_RED.png","test3_13_2711_chrom399_diflubenzuron-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_13\2711_chrom399_diflubenzuron-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_13_2711_chrom399_diflubenzuron-1_RED.png"
"test3_4","lactofen-2","634","5","1","0","5","RED","2713","plots\test3_4\2713_chrom634_lactofen-2_RED.png","test3_4_2713_chrom634_lactofen-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_4\2713_chrom634_lactofen-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_4_2713_chrom634_lactofen-2_RED.png"
"test3_16","phenthoate-1","451","2","1","0","1","RED","2715","plots\test3_16\2715_chrom451_phenthoate-1_RED.png","test3_16_2715_chrom451_phenthoate-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_16\2715_chrom451_phenthoate-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_16_2715_chrom451_phenthoate-1_RED.png"
"test3_15","fenpropathrin-1","671","2","1","0","1","RED","2716","plots\test3_15\2716_chrom671_fenpropathrin-1_RED.png","test3_15_2716_chrom671_fenpropathrin-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_15\2716_chrom671_fenpropathrin-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_15_2716_chrom671_fenpropathrin-1_RED.png"
"test3_6","metribuzin-1","133","1","1","0","1","YELLOW","2722","plots\test3_6\2722_chrom133_metribuzin-1_YELLOW.png","test3_6_2722_chrom133_metribuzin-1_YELLOW.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_6\2722_chrom133_metribuzin-1_YELLOW.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_6_2722_chrom133_metribuzin-1_YELLOW.png"
"test3_4","demeton-S-methyl-1","181","4","1","0","4","RED","2732","plots\test3_4\2732_chrom181_demeton-S-methyl-1_RED.png","test3_4_2732_chrom181_demeton-S-methyl-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_4\2732_chrom181_demeton-S-methyl-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_4_2732_chrom181_demeton-S-methyl-1_RED.png"
"test3_9","tebuconazole-2","466","3","1","0","2","RED","2733","plots\test3_9\2733_chrom466_tebuconazole-2_RED.png","test3_9_2733_chrom466_tebuconazole-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_9\2733_chrom466_tebuconazole-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_9_2733_chrom466_tebuconazole-2_RED.png"
"test3_8","propanil-2","266","4","1","0","3","RED","2736","plots\test3_8\2736_chrom266_propanil-2_RED.png","test3_8_2736_chrom266_propanil-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_8\2736_chrom266_propanil-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_8_2736_chrom266_propanil-2_RED.png"
"test3_53","uniconazole-1","411","2","1","0","1","RED","2738","plots\test3_53\2738_chrom411_uniconazole-1_RED.png","test3_53_2738_chrom411_uniconazole-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_53\2738_chrom411_uniconazole-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_53_2738_chrom411_uniconazole-1_RED.png"
"test3_12","molinate-2","314","2","1","0","2","RED","2739","plots\test3_12\2739_chrom314_molinate-2_RED.png","test3_12_2739_chrom314_molinate-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_12\2739_chrom314_molinate-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_12_2739_chrom314_molinate-2_RED.png"
"test3_7","clethodim-2","572","3","1","0","3","RED","2740","plots\test3_7\2740_chrom572_clethodim-2_RED.png","test3_7_2740_chrom572_clethodim-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_7\2740_chrom572_clethodim-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_7_2740_chrom572_clethodim-2_RED.png"
"test3_14","fenhexamid-2","366","2","1","0","1","RED","2742","plots\test3_14\2742_chrom366_fenhexamid-2_RED.png","test3_14_2742_chrom366_fenhexamid-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_14\2742_chrom366_fenhexamid-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_14_2742_chrom366_fenhexamid-2_RED.png"
"test3_53","phorate-2","496","2","1","0","1","RED","2768","plots\test3_53\2768_chrom496_phorate-2_RED.png","test3_53_2768_chrom496_phorate-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_53\2768_chrom496_phorate-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_53_2768_chrom496_phorate-2_RED.png"
"test3_22","metconazole-2","506","2","1","0","1","RED","2771","plots\test3_22\2771_chrom506_metconazole-2_RED.png","test3_22_2771_chrom506_metconazole-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_22\2771_chrom506_metconazole-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_22_2771_chrom506_metconazole-2_RED.png"
"test3_35","triazophos-1","361","2","1","0","1","RED","2778","plots\test3_35\2778_chrom361_triazophos-1_RED.png","test3_35_2778_chrom361_triazophos-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_35\2778_chrom361_triazophos-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_35_2778_chrom361_triazophos-1_RED.png"
